GEO_ID,NAME,VAL,TON,val_norm,ton_norm,vulnerability_score,rank,is_metro,INTPTLAT,INTPTLON,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles,min_distance_to_neighbor_miles,num_commodities,max_comm_val,dominant_commodity,val_ton_ratio
E330000US0821600000,"Denver-Aurora, CO CFS Area; Colorado",1026516,435459,0.1275310769585234,0.1169378602450691,0.1233,51,1,39.1189141,-105.7176479,Kansas City Intermodal Hub,rail_intermodal,596.82,Port of Long Beach,786.14,80.15,283,169382,All Commodities,2.4233
E330000US4899913140,"Beaumont-Port Arthur, TX CFS Area; Texas",425896,813435,0.0519938289406184,0.2195434197021155,0.119,52,1,30.1223229,-93.8940999,Port of Beaumont,seaport,13.94,Port of Beaumont,13.94,32.87,191,63114,All Commodities,0.7018
E330000US3699999999,"Remainder of New York, New York",892946,487948,0.1107325850372561,0.1311865511946027,0.1189,53,0,42.2667252,-77.3855253,Port of Philadelphia,seaport,199.65,Port of Philadelphia,199.65,40.95,263,129897,All Commodities,1.8742
E330000US1242200000,"Orlando-Lakeland-Deltona, FL CFS Area; Florida",914684,452054,0.113466474513819,0.1214427474844432,0.1167,54,1,29.057769,-81.161792,Port of Jacksonville,seaport,95.62,Port of Jacksonville,95.62,59.29,270,184905,All Commodities,2.148
E330000US3442800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); New Jersey",796192,480712,0.0985642741339822,0.1292222629111371,0.1108,55,1,39.8024071,-74.9612493,Port of Philadelphia,seaport,12.67,Port of Philadelphia,12.67,16.96,259,167898,All Commodities,1.7505
E330000US4740000000,"Nashville-Davidson--Murfreesboro, TN CFS Area; Tennessee",726454,504211,0.0897936427825908,0.1356013135431379,0.1081,56,1,35.8433688,-86.4172127,Atlanta Intermodal Hub,rail_intermodal,184.91,Port of Savannah,401.68,82.95,240,133085,All Commodities,1.4568
E330000US4099999999,"Remainder of Oklahoma, Oklahoma",398232,719744,0.0485146533734256,0.1941100126310577,0.1068,57,0,35.8980428,-94.6510258,Kansas City Intermodal Hub,rail_intermodal,221.25,Port of Beaumont,403.06,45.43,261,63685,All Commodities,0.5588
E330000US5537600000,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",818487,401108,0.1013682149693843,0.1076129201088991,0.1039,58,1,42.6681095,-88.5417306,Chicago Intermodal Hub,rail_intermodal,71.78,Port of Baltimore,666.31,88.12,283,128832,All Commodities,2.24
E330000US4599999999,"Remainder of South Carolina, South Carolina",696579,463513,0.0860363997927888,0.1245534135209596,0.1014,59,0,34.6893424,-81.1612488,Port of Charleston,seaport,149.26,Port of Charleston,149.26,55.34,269,108587,All Commodities,1.5385
E330000US5399999999,"Remainder of Washington, Washington",536283,502959,0.0658767003017993,0.1352614449788898,0.0936,60,0,46.2946377,-123.4244583,Port of Portland,seaport,60.52,Port of Portland,60.52,36.28,277,75923,All Commodities,1.0761
E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",354346,609632,0.0429953105834523,0.1642189524501618,0.0915,61,1,41.0176883,-87.1188137,Chicago Intermodal Hub,rail_intermodal,65.07,Port of Baltimore,569.42,88.07,235,48909,All Commodities,0.6823
