NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,231,"Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink",6220,1523,1
United States,0100000US,232,"Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations",6493,848,1
United States,0100000US,232,"Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations",2324,486,1
United States,0100000US,233,"Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps",2478,1279,1
United States,0100000US,233,"Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps",4332,1914,1
United States,0100000US,234,"Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use",2997,349,1
United States,0100000US,234,"Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use",1461,183,1
United States,0100000US,235,"Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.",1050,167,1
United States,0100000US,235,"Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.",3705,0,1
United States,0100000US,239,"Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations, etc.",10286,5568,1
United States,0100000US,239,"Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations, etc.",10541,0,1
United States,0100000US,24,Plastics and rubber,3328,1135,1
United States,0100000US,24,Plastics and rubber,0,0,1
United States,0100000US,241,Plastics and rubber in primary forms or sheets,340,178,1
United States,0100000US,241,Plastics and rubber in primary forms or sheets,0,0,1
United States,0100000US,242,Manmade fibers and plastics basic shapes and articles,2839,935,1
United States,0100000US,242,Manmade fibers and plastics basic shapes and articles,164,46,1
United States,0100000US,243,Rubber articles,149,0,1
United States,0100000US,243,Rubber articles,0,0,1
United States,0100000US,25,Logs and other wood in the rough,0,7,1
United States,0100000US,250,Logs and other wood in the rough,0,7,1
United States,0100000US,26,Wood products,207,0,1
United States,0100000US,26,Wood products,0,0,1
United States,0100000US,261,Wood chips or particles,0,0,1
United States,0100000US,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes",0,0,1
United States,0100000US,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes",0,0,1
United States,0100000US,263,"Veneer sheets and sheets for plywood, particle board, fiberboard, plywood, and similar laminated wood",0,0,1
United States,0100000US,264,"Windows, doors, thresholds, and builders' joinery and carpentry of wood (excludes shingles and shakes)",0,0,1
United States,0100000US,264,"Windows, doors, thresholds, and builders' joinery and carpentry of wood (excludes shingles and shakes)",0,2,1
United States,0100000US,269,Other wood products,0,0,1
United States,0100000US,269,Other wood products,0,0,1
United States,0100000US,27,"Pulp, newsprint, paper, and paperboard",160,0,1
United States,0100000US,27,"Pulp, newsprint, paper, and paperboard",14,0,1
United States,0100000US,271,Pulp of fibrous cellulosic materials,0,0,1
United States,0100000US,272,Newsprint in large rolls or sheets,0,0,1
United States,0100000US,273,"Uncoated paper, tissue, and paperboard in large rolls or sheets",100,0,1
United States,0100000US,273,"Uncoated paper, tissue, and paperboard in large rolls or sheets",8,1,1
United States,0100000US,274,"Coated, impregnated, treated, or worked paper and paperboard, in large rolls or sheets",53,0,1
United States,0100000US,274,"Coated, impregnated, treated, or worked paper and paperboard, in large rolls or sheets",0,0,1
United States,0100000US,28,Paper or paperboard articles,171,216,1
United States,0100000US,28,Paper or paperboard articles,128,86,1
United States,0100000US,280,Paper or paperboard articles,171,216,1
United States,0100000US,280,Paper or paperboard articles,128,86,1
United States,0100000US,29,Printed products,607,55,1
United States,0100000US,29,Printed products,0,0,1
United States,0100000US,291,"Printed books, brochures, leaflets, and similar printed products",0,0,1
United States,0100000US,291,"Printed books, brochures, leaflets, and similar printed products",0,0,1
United States,0100000US,292,"Newspapers, journals, and periodicals",0,0,1
United States,0100000US,293,"Advertising material, commercial or trade catalogues, and similar printed products",66,16,1
United States,0100000US,299,Other printed products,348,22,1
United States,0100000US,299,Other printed products,0,0,1
United States,0100000US,30,"Textiles, leather, and articles of textiles or leather",394,35,1
United States,0100000US,30,"Textiles, leather, and articles of textiles or leather",0,0,1
United States,0100000US,301,"Textile fibers, yarns, and broad woven or knitted fabrics",0,0,1
United States,0100000US,302,"Textile clothing and accessories, and headgear (excludes safety)",0,0,1
United States,0100000US,303,"Textiles and textile articles, not elsewhere classified",54,0,1
United States,0100000US,303,"Textiles and textile articles, not elsewhere classified",0,10,1
United States,0100000US,304,Leather footwear,48,0,1
United States,0100000US,304,Leather footwear,0,0,1
United States,0100000US,305,"Leather and articles of leather or allied materials, and dressed fur skins",30,9,1
United States,0100000US,31,Non-metallic mineral products,1057,4961,1
United States,0100000US,31,Non-metallic mineral products,0,126,1
United States,0100000US,311,Hydraulic cements,369,4519,1
United States,0100000US,312,Ceramic products,88,24,1
United States,0100000US,312,Ceramic products,0,0,1
United States,0100000US,313,Glass and glass products,499,86,1
United States,0100000US,313,Glass and glass products,0,0,1
United States,0100000US,319,Other non-metallic mineral products,101,0,1
United States,0100000US,319,Other non-metallic mineral products,0,126,1
United States,0100000US,32,Base metal in primary or semi-finished forms and in finished basic shapes,822,303,1
United States,0100000US,32,Base metal in primary or semi-finished forms and in finished basic shapes,59,23,1
United States,0100000US,321,"Ferro-alloys, and iron and steel in primary or semi-finished forms, or in powders or granules",0,0,1
United States,0100000US,322,Flat-rolled products of iron or steel,207,120,1
United States,0100000US,322,Flat-rolled products of iron or steel,0,0,1
United States,0100000US,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel",0,34,1
United States,0100000US,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel",0,0,1
United States,0100000US,324,"Nonferrous metal (excludes precious, unwrought, or in finished basic shapes, or in powders or granules)",349,121,1
United States,0100000US,324,"Nonferrous metal (excludes precious, unwrought, or in finished basic shapes, or in powders or granules)",56,23,1
United States,0100000US,33,Articles of base metal,453,59,1
United States,0100000US,33,Articles of base metal,0,0,1
United States,0100000US,331,"Pipes, tubes, and fittings",130,0,1
United States,0100000US,331,"Pipes, tubes, and fittings",0,0,1
United States,0100000US,332,Structures and parts (excludes prefabricated buildings),0,0,1
United States,0100000US,332,Structures and parts (excludes prefabricated buildings),0,0,1
United States,0100000US,333,"Hand tools, cutlery (excludes precious metals, interchangeable tools for hand or machine tools, hardware, and industrial fasteners)",16,4,1
United States,0100000US,333,"Hand tools, cutlery (excludes precious metals, interchangeable tools for hand or machine tools, hardware, and industrial fasteners)",0,0,1
United States,0100000US,339,Other articles of metal,0,45,1
United States,0100000US,339,Other articles of metal,0,0,1
United States,0100000US,34,Machinery,2597,149,1
United States,0100000US,34,Machinery,0,0,1
United States,0100000US,341,Internal-combustion engines and parts,0,0,1
United States,0100000US,342,"Turbines, boilers, nuclear reactors, and nonelectric engines and motors (excludes internal-combustion)",502,0,1
United States,0100000US,342,"Turbines, boilers, nuclear reactors, and nonelectric engines and motors (excludes internal-combustion)",0,0,1
United States,0100000US,343,"Pumps, compressors, fans, and ventilating or recycling hoods incorporating a fan",0,0,1
United States,0100000US,343,"Pumps, compressors, fans, and ventilating or recycling hoods incorporating a fan",0,0,1
United States,0100000US,344,"Air-conditioning, refrigerating, or freezing equipment",98,0,1
United States,0100000US,344,"Air-conditioning, refrigerating, or freezing equipment",0,0,1
United States,0100000US,345,"Materials-handling, excavating, boring, and related machinery and equipment",0,0,1
